,movie_name,summary,genre
118,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","['Drama', 'Sci-Fi', '']"
119,Like Stars on Earth,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","['Drama', 'Family', '']"
120,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","['Biography', 'Drama', 'History', '']"
121,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","['Comedy', 'Crime', '']"
122,L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","['Crime', 'Drama', 'Mystery', '']"
123,Bicycle Thieves,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.","['Drama', '']"
124,1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","['Action', 'Drama', 'War', '']"
125,Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","['Crime', 'Drama', '']"
126,Downfall,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","['Biography', 'Drama', 'History', '']"
127,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"['Action', 'Biography', 'Drama', '']"
128,For a Few Dollars More,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.","['Drama', 'Western', '']"
129,Batman Begins,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","['Action', 'Crime', 'Drama', '']"
130,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","['Biography', 'Comedy', 'Crime', '']"
131,Some Like It Hot,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","['Comedy', 'Music', 'Romance', '']"
132,The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","['Comedy', 'Drama', 'Family', '']"
133,Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"['Biography', 'Comedy', 'Drama', '']"
134,The Father,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","['Drama', 'Mystery', '']"
135,Judgment at Nuremberg,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","['Drama', 'War', '']"
136,Top Gun: Maverick,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","['Action', 'Drama', '']"
137,All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"['Drama', '']"
138,The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,"['Comedy', 'Drama', '']"
139,Shutter Island,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","['Drama', 'Mystery', 'Thriller', '']"
140,There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","['Drama', '']"
141,Casino,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.","['Crime', 'Drama', '']"
142,Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","['Action', 'Drama', 'War', '']"
143,Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"['Action', 'Adventure', 'Sci-Fi', '']"
144,The Sixth Sense,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.","['Drama', 'Mystery', 'Thriller', '']"
145,Pan's Labyrinth,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","['Drama', 'Fantasy', 'War', '']"
146,Unforgiven,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","['Drama', 'Western', '']"
147,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"['Crime', 'Drama', 'Thriller', '']"
148,A Beautiful Mind,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.","['Biography', 'Drama', 'Mystery', '']"
149,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"['Horror', 'Mystery', 'Sci-Fi', '']"
150,The Treasure of the Sierra Madre,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"['Adventure', 'Drama', 'Western', '']"
151,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","['Action', 'Crime', 'Thriller', '']"
152,Yojimbo,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"['Action', 'Drama', 'Thriller', '']"
153,Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","['Adventure', 'Comedy', 'Fantasy', '']"
154,The Great Escape,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"['Adventure', 'Drama', 'Thriller', '']"
155,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","['Animation', 'Adventure', 'Comedy', '']"
156,Rashomon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","['Crime', 'Drama', 'Mystery', '']"
157,Howl's Moving Castle,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","['Animation', 'Adventure', 'Family', '']"
158,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","['Biography', 'Drama', '']"
159,Chinatown,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","['Drama', 'Mystery', 'Thriller', '']"
160,Dial M for Murder,A former tennis star arranges the murder of his adulterous wife.,"['Crime', 'Thriller', '']"
161,Gone with the Wind,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,"['Drama', 'Romance', 'War', '']"
162,V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","['Action', 'Drama', 'Sci-Fi', '']"
163,"Lock, Stock and Two Smoking Barrels","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","['Action', 'Comedy', 'Crime', '']"
164,The Secret in Their Eyes,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"['Drama', 'Mystery', 'Romance', '']"
165,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","['Animation', 'Adventure', 'Comedy', '']"
166,Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","['Biography', 'Drama', 'Sport', '']"
167,"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"['Comedy', 'Crime', 'Drama', '']"
168,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.","['Drama', '']"
169,The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","['Adventure', 'Drama', 'War', '']"
170,Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","['Action', 'Adventure', 'Fantasy', '']"
171,Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"['Crime', 'Thriller', '']"
172,Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","['Animation', 'Adventure', 'Comedy', '']"
173,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","['Action', 'Drama', 'Sport', '']"
174,Catch Me If You Can,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","['Biography', 'Crime', 'Drama', '']"
175,Godzilla Minus One,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.","['Action', 'Adventure', 'Drama', '']"
176,Gran Torino,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.","['Drama', '']"
177,My Neighbor Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","['Animation', 'Comedy', 'Family', '']"
178,Million Dollar Baby,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.","['Drama', 'Sport', '']"
179,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","['Adventure', 'Family', 'Fantasy', '']"
180,Children of Heaven,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","['Drama', 'Family', 'Sport', '']"
181,12 Years a Slave,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.","['Biography', 'Drama', 'History', '']"
182,Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"['Action', 'Drama', 'Sci-Fi', '']"
183,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","['Drama', 'Romance', '']"
184,The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","['Adventure', 'Comedy', 'Crime', '']"
185,Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","['Adventure', 'Drama', '']"
186,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"['Adventure', 'Drama', 'War', '']"
187,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","['Drama', 'Mystery', 'Thriller', '']"
188,Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","['Biography', 'Drama', 'History', '']"
189,The Gold Rush,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","['Adventure', 'Comedy', 'Drama', '']"
190,In the Name of the Father,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.","['Biography', 'Crime', 'Drama', '']"
191,Memories of Murder,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","['Crime', 'Drama', 'Mystery', '']"
192,Dead Poets Society,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.","['Comedy', 'Drama', '']"
193,On the Waterfront,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","['Crime', 'Drama', 'Thriller', '']"
194,The General,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","['Action', 'Adventure', 'Comedy', '']"
195,The Deer Hunter,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"['Drama', 'War', '']"
196,Wild Tales,Six short stories that explore the extremities of human behavior involving people in distress.,"['Comedy', 'Drama', 'Thriller', '']"
197,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.","['Action', 'Adventure', 'Sci-Fi', '']"
198,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","['Animation', 'Adventure', 'Comedy', '']"
199,Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","['Action', 'Comedy', 'Romance', '']"
200,The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","['Film-Noir', 'Mystery', 'Thriller', '']"
201,Wild Strawberries,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","['Drama', 'Romance', '']"
202,The Wages of Fear,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","['Adventure', 'Drama', 'Thriller', '']"
203,Jaws,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","['Adventure', 'Mystery', 'Thriller', '']"
204,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","['Animation', 'Action', 'Adventure', '']"
205,Mary and Max,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.","['Animation', 'Comedy', 'Drama', '']"
206,Mr. Smith Goes to Washington,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","['Comedy', 'Drama', '']"
207,Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"['Action', 'Biography', 'Drama', '']"
208,Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"['Animation', 'Adventure', 'Comedy', '']"
